YEAR,REGION,GENRE,TRANCHE_AGE,NB_STUDENTS,POPULATION_INSEE_2025,PART_STUDENTS,PART_INSEE,PERIMETRE_ANALYSE
2025,Corse,homme,60+,0,53186,0.000000,0.001006,Comparaison OC vs INSEE
2025,DROM,femme,20-39,1,279364,0.001127,0.005284,Comparaison OC vs INSEE
2025,DROM,femme,40-59,2,297651,0.002255,0.005630,Comparaison OC vs INSEE
2025,DROM,femme,60+,0,269975,0.000000,0.005106,Comparaison OC vs INSEE
2025,DROM,homme,20-39,7,226336,0.007892,0.004281,Comparaison OC vs INSEE
2025,DROM,homme,40-59,3,254028,0.003382,0.004805,Comparaison OC vs INSEE
2025,DROM,homme,60+,1,226474,0.001127,0.004283,Comparaison OC vs INSEE
2025,Grand Est,femme,20-39,10,641515,0.011274,0.012133,Comparaison OC vs INSEE
2025,Grand Est,femme,40-59,3,716353,0.003382,0.013549,Comparaison OC vs INSEE
2025,Grand Est,femme,60+,0,885198,0.000000,0.016742,Comparaison OC vs INSEE
2025,Grand Est,homme,20-39,26,657130,0.029312,0.012429,Comparaison OC vs INSEE
2025,Grand Est,homme,40-59,8,702766,0.009019,0.013292,Comparaison OC vs INSEE
2025,Grand Est,homme,60+,0,722908,0.000000,0.013673,Comparaison OC vs INSEE
2025,Hauts-de-France,femme,20-39,6,719247,0.006764,0.013604,Comparaison OC vs INSEE
2025,Hauts-de-France,femme,40-59,4,762577,0.004510,0.014423,Comparaison OC vs INSEE
2025,Hauts-de-France,femme,60+,0,881251,0.000000,0.016668,Comparaison OC vs INSEE
2025,Hauts-de-France,homme,20-39,36,715255,0.040586,0.013528,Comparaison OC vs INSEE
2025,Hauts-de-France,homme,40-59,10,747455,0.011274,0.014137,Comparaison OC vs INSEE
2025,Hauts-de-France,homme,60+,0,689429,0.000000,0.013040,Comparaison OC vs INSEE
2025,Normandie,femme,20-39,0,368203,0.000000,0.006964,Comparaison OC vs INSEE
2025,Normandie,femme,40-59,3,420803,0.003382,0.007959,Comparaison OC vs INSEE
2025,Normandie,femme,60+,0,563376,0.000000,0.010656,Comparaison OC vs INSEE
2025,Normandie,homme,20-39,8,375604,0.009019,0.007104,Comparaison OC vs INSEE
2025,Normandie,homme,40-59,8,407565,0.009019,0.007709,Comparaison OC vs INSEE
2025,Normandie,homme,60+,0,446846,0.000000,0.008452,Comparaison OC vs INSEE
2025,Nouvelle-Aquitaine,femme,20-39,7,661011,0.007892,0.012502,Comparaison OC vs INSEE
2025,Nouvelle-Aquitaine,femme,40-59,7,807982,0.007892,0.015282,Comparaison OC vs INSEE
2025,Nouvelle-Aquitaine,femme,60+,0,1111750,0.000000,0.021027,Comparaison OC vs INSEE
2025,Nouvelle-Aquitaine,homme,20-39,24,666721,0.027057,0.012610,Comparaison OC vs INSEE
2025,Nouvelle-Aquitaine,homme,40-59,8,774437,0.009019,0.014648,Comparaison OC vs INSEE
2025,Nouvelle-Aquitaine,homme,60+,0,895959,0.000000,0.016946,Comparaison OC vs INSEE
2025,Occitanie,femme,20-39,14,699203,0.015784,0.013225,Comparaison OC vs INSEE
2025,Occitanie,femme,40-59,7,801055,0.007892,0.015151,Comparaison OC vs INSEE
2025,Occitanie,femme,60+,0,1049847,0.000000,0.019857,Comparaison OC vs INSEE
2025,Occitanie,homme,20-39,34,699821,0.038331,0.013236,Comparaison OC vs INSEE
2025,Occitanie,homme,40-59,12,763319,0.013529,0.014437,Comparaison OC vs INSEE
2025,Occitanie,homme,60+,0,857509,0.000000,0.016219,Comparaison OC vs INSEE
2025,Pays de la Loire,femme,20-39,4,443006,0.004510,0.008379,Comparaison OC vs INSEE
2025,Pays de la Loire,femme,40-59,5,499999,0.005637,0.009457,Comparaison OC vs INSEE
2025,Pays de la Loire,femme,60+,0,622140,0.000000,0.011767,Comparaison OC vs INSEE
2025,Pays de la Loire,homme,20-39,11,455324,0.012401,0.008612,Comparaison OC vs INSEE
2025,Pays de la Loire,homme,40-59,7,496039,0.007892,0.009382,Comparaison OC vs INSEE
2025,Pays de la Loire,homme,60+,0,503053,0.000000,0.009515,Comparaison OC vs INSEE
2025,Provence-Alpes-Côte d'Azur,femme,20-39,16,586070,0.018038,0.011085,Comparaison OC vs INSEE
2025,Provence-Alpes-Côte d'Azur,femme,40-59,10,686031,0.011274,0.012975,Comparaison OC vs INSEE
2025,Provence-Alpes-Côte d'Azur,femme,60+,0,920335,0.000000,0.017407,Comparaison OC vs INSEE
2025,Provence-Alpes-Côte d'Azur,homme,20-39,39,570317,0.043968,0.010787,Comparaison OC vs INSEE
2025,Provence-Alpes-Côte d'Azur,homme,40-59,14,644928,0.015784,0.012198,Comparaison OC vs INSEE
2025,Provence-Alpes-Côte d'Azur,homme,60+,0,724189,0.000000,0.013697,Comparaison OC vs INSEE
2025,Île-de-France,femme,20-39,108,1788676,0.121759,0.033831,Comparaison OC vs INSEE
2025,Île-de-France,femme,40-59,34,1637644,0.038331,0.030974,Comparaison OC vs INSEE
2025,Île-de-France,femme,60+,0,1512916,0.000000,0.028615,Comparaison OC vs INSEE
2025,Île-de-France,homme,20-39,166,1709549,0.187148,0.032334,Comparaison OC vs INSEE
2025,Île-de-France,homme,40-59,49,1574991,0.055242,0.029789,Comparaison OC vs INSEE
2025,Île-de-France,homme,60+,3,1202559,0.003382,0.022745,Comparaison OC vs INSEE
